city,bt,Kms_Driven,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Mileage,Engine_Displacement,Max Power,Color,Engine Type,Max Torque,No of Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed
Kolkata,Sedan,70,Toyota,Toyota Camry,2014,2123,69.81260057098365,975000,2014,Third Party insurance,Petrol,5,WB02,Third Owner,Automatic,19.16,2494,158.2,White,2AR FXE Petrol Engine ,213.0,4.0,DOHC,Electronic Fuel Injection(EFI),90.0,No,No,4825.0,1825.0,1480.0,2775.0,1580.0,1570.0,1625.0,2100.0,6 Speed ,FWD,Power,5.5,236.0,185.39999999999998,"Tubeless,Radial",17,4.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Hatchback,23,Datsun,Datsun RediGO,2017,5236,69.81260057098365,266000,Jul 2017,Comprehensive,Petrol,5,WB24,First Owner,Manual,22.7,799,53.64,Red,0.8L Petrol Engine,72.0,3.0,DOHC,MPFi,72.6523747368421,No,No,3429.0,1560.0,1541.0,2348.0,1458.3461457676958,1459.0579069277742,770.0,1663.445324881141,5-Speed,2WD,Power,4.7,236.0,185.39999999999998,"Tubeless,Radial",0,5.0,185.0,222.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,SUV,7,Renault,Renault Kiger,2021,8352,69.81260057098365,595000,Nov 2021,Comprehensive,Petrol,5,WB06,First Owner,Automatic,19.03,999,71.01,Blue,1.0L energy,96.0,3.0,DOHC,MPFi,72.6523747368421,No,No,3991.0,1750.0,1605.0,2500.0,1536.0,1535.0,1055.0,1663.445324881141,5 Speed,FWD,Electric,6.036145117945655,236.0,185.39999999999998,"Tubeless, Radial",0,5.0,175.14117647058825,405.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Hatchback,71,Hyundai,Hyundai i20,2011,1642,1.2,223000,Feb 2012,Third Party insurance,Petrol,5,WB06,Second Owner,Manual,17.0,1197,80.0,Red,In-Line Engine,11.4,4.0,DOHC,MPFI,72.6523747368421,No,No,3940.0,1710.0,1505.0,2.0,1.0,1.0,1020.0,1663.445324881141,5 Speed,FWD,Power,5.2,236.0,185.39999999999998,"Tubeless,Radial",14,5.0,175.14117647058825,295.0,1.0,12.96,175.7024856765095
Kolkata,SUV,50,Audi,Audi Q3,2014,99,35.0,1200000,2014,Third Party insurance,Diesel,5,WB02,Second Owner,Automatic,15.73,1968,174.33,White,TDI Diesel Engine,380.0,4.0,DOHC,CRDI,72.6523747368421,Yes,No,4385.0,2019.0,1608.0,2603.0,1571.0,1575.0,1660.0,2185.0,7-Speed S-Tronic ,AWD,Power,5.9,236.0,185.39999999999998,"Tubeless,Radial",16,5.0,175.14117647058825,460.0,12.667795612627074,8.2,212.0
Kolkata,Hatchback,35,Maruti,Maruti Wagon R,2018,7051,1.2,425000,Nov 2018,Comprehensive,Petrol,5,WB18,First Owner,Automatic,20.52,1197,81.8,Brown,K12M Petrol Engine,113.0,4.0,DOHC,MPFI,69.0,No,No,3655.0,1620.0,1675.0,2435.0,1458.3461457676958,1459.0579069277742,830.0,1340.0,5 Speed,FWD,Power,4.7,236.0,185.39999999999998,"Tubeless Tyres, Radial",0,5.0,175.14117647058825,341.0,12.667795612627074,18.6,175.7024856765095
Kolkata,Hatchback,11,Hyundai,Hyundai Santro,2020,7463,69.81260057098365,596000,Jun 2020,Comprehensive,Petrol,5,WB02,Second Owner,Automatic,20.3,1086,68.05,Silver,1.1 L Petrol,99.0,4.0,SOHC,MPFI,72.6523747368421,No,No,3610.0,1645.0,1560.0,2400.0,1463.0,1481.0,1070.0,1663.445324881141,5 Speed,FWD,Electric,6.036145117945655,236.0,185.39999999999998,"Tubeless,Radial",0,5.0,175.14117647058825,235.0,12.667795612627074,12.854019118869493,175.7024856765095
Kolkata,Hatchback,31,Renault,Renault KWID,2018,5096,69.81260057098365,250000,Oct 2018,Third Party insurance,Petrol,5,WB02,First Owner,Manual,25.17,799,53.3,Silver,Petrol Engine,72.0,3.0,DOHC,MPFi,72.6523747368421,No,No,3679.0,1579.0,1478.0,2422.0,1458.3461457676958,1459.0579069277742,730.0,1663.445324881141,5 Speed,FWD,Power,4.9,236.0,185.39999999999998,"Tubeless,Radial",0,5.0,175.14117647058825,300.0,12.667795612627074,16.0,135.0
Kolkata,Sedan,41,Maruti,Maruti Swift Dzire,2011,4224,69.81260057098365,221000,Aug 2011,Comprehensive,Petrol,5,WB24,Second Owner,Manual,17.5,1298,85.8,Silver,In-Line Engine,114.0,4.0,SOHC,MPFI,74.0,No,No,4160.0,1690.0,1530.0,2390.0,1470.0,1480.0,1025.0,1663.445324881141,5 Speed,2 WD,Power,4.7,236.0,185.39999999999998,"Tubeless,Radial",14,4.0,175.14117647058825,464.0,9.0,12.854019118869493,175.7024856765095
Kolkata,Hatchback,60,Maruti,Maruti Wagon R,2010,4348,69.81260057098365,208000,Jun 2010,Third Party insurance,Petrol,5,WB06,First Owner,Manual,18.9,998,67.1,Red,K Series Petrol Engine,90.0,3.0,DOHC,MPFI,72.6523747368421,No,No,3595.0,1475.0,1670.0,2400.0,1295.0,1290.0,860.0,1350.0,5 Speed,FWD,Manual,4.6,236.0,185.39999999999998,"Tubeless, Radial",13,4.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095
